user,item,rating
8409781,7338141,3
6805773,9795716,6
1894212,7161791,2
3807016,7370068,3
27274,169365,6
7836444,6977,7
8479925,216873,6
6820948,9848704,7
7170158,9793615,7
2112481,4273874,2
3130098,5232124,6
696800,9262861,3
2805813,1552869,8
9510951,5300235,5
4487363,2874802,6
424659,5580784,1
5111748,2367695,7
9833064,6288670,4
2393363,9574764,4
4309053,1576927,6
3085761,9248508,3
2267108,3685536,5
7745953,9581121,4
7068990,8133504,3
6089154,2623627,2
7478232,3044272,3
7069808,6040445,6
6840859,9470870,3
2060046,2717598,8
6582041,349710,3
9936260,2840379,4
6194325,2734590,5
6111879,3333417,4
6096685,6509385,3
3367417,9467587,2
9363274,1713705,6
2335441,5836689,2
9971530,5068775,3
7360113,9621629,5
7642379,2974545,3
7124282,8627542,2
1950448,6539178,1
3207068,2216163,4
9976439,9425947,6
6193086,1271102,4
3915749,7220779,4
5184997,4480831,3
3558942,5407809,2
5481225,7218898,8
9346910,6374004,4
946193,9070832,3
7793346,7324047,7
3984609,7517797,3
8956473,7175109,5
3411982,2263104,10
7740421,3643490,8
8642278,9522381,7
7737559,3104566,3
3151339,1378372,6
541714,7736447,4
9486486,8627542,1
9545267,7701763,6
2686891,4766482,2
8852783,6925269,7
6185684,7227194,6
9811900,8415614,3
2006557,8113852,4
745524,7111006,7
33132,2590083,8
6689379,384918,3
4171584,4666698,6
112747,8070288,7
2545784,7523361,2
5110100,9425947,6
2539954,8716552,6
8278673,8216017,5
9223127,2487729,1
2695114,1129981,6
6195347,7474874,3
7388161,4717098,5
9119242,9541772,5
7381119,5762808,5
4606009,7753251,4
4880334,6727504,5
926577,9134277,6
2886894,4444333,1
900309,955652,7
3828013,4419073,4
547841,7569483,2
6340564,2840379,4
6745173,3022512,7
7691514,8611791,4
4114207,373176,5
6680322,955652,8
2440762,9152011,7
2189335,7223309,2
8550229,1129981,6
6944638,6626101,4
5220902,37656,3
2684393,9390872,3
7070201,751781,7
271370,3895098,6
3687575,5329076,9
1976259,7753251,4
5703563,404718,4
3603896,5951657,4
5403744,7111006,7
9479303,3931129,7
2449008,4437169,2
5508242,626297,3
2037590,4117117,8
5080415,5961538,6
460416,8650595,5
756689,4508533,3
4853613,2263104,10
9848602,4450476,3
3417600,3946449,5
4285806,8266809,6
8987401,4339499,7
4009772,6789882,2
811785,6222583,4
4179471,9085338,5
6196519,9522381,7
8433344,6222583,3
146109,1409504,6
8461713,5779504,5
3979565,5580784,1
6150722,1315645,8
4438877,8339451,7
5251171,2717598,8
1154934,5875100,6
6643900,1580618,6
6078927,3784767,4
6570034,1560771,4
8449005,9606724,2
5405708,3633850,5
5769786,2593263,5
6748280,4666698,6
229710,5254367,5
4690414,6032937,6
99049,4671186,5
2061800,2100806,4
9692298,3603939,4
1406357,7937800,2
7665318,9815958,4
1743849,8090014,8
5089509,6267437,7
397634,5836689,2
2819912,2131601,4
9828549,8990315,3
2631975,6952533,2
6653790,8508817,3
5332475,4351478,2
6326044,6358054,7
1898396,6242825,7
9715030,2775481,5
4915309,7569483,2
2679033,7675963,1
8050756,5877719,5
6927328,6216893,9
4693041,6925269,7
2673836,1962310,3
4322223,8592878,7
5416224,1239713,5
8252990,1508171,2
9161137,7081234,7
4110174,5875100,6
6946991,5936628,5
421894,1872598,7
4719862,1246205,6
8104417,5254367,5
5079365,3987272,2
2657741,8792750,3
9010799,9321532,3
9460093,789666,4
5609757,8434733,6
3170804,6765257,5
9354039,7057085,7
9735509,8028438,6
9753784,4303341,3
9257535,5276055,6
6211004,8270818,4
1303224,7675963,2
7873185,5795794,3
3108835,9927841,4
8125443,1176549,2
8686780,9694682,2
4536433,8757599,6
8422738,1925954,2
2691530,4423891,3
5851454,7382113,2
2288460,5300235,5
6316908,9328614,2
4448643,3784695,8
3413240,7836236,3
5215979,5400185,3
6212799,7835814,4
4211789,7515939,3
4025306,8318466,3
235707,7942084,8
2245978,7425201,6
1140167,9765877,3
2575151,6597860,5
6710712,650405,4
6621314,2593263,5
2145445,691383,4
190130,1148318,2
4033333,5702764,2
8821653,9756051,4
4415095,7613520,6
323898,4877541,9
2952523,5377170,3
4569927,8803427,3
6075256,5041124,8
5416911,6216893,8
81617,4896366,4
1628531,3945826,7
8686669,313198,9
2183407,9956142,2
4739807,9096626,4
398568,5259846,2
5350370,7474874,4
2661890,9322144,6
2544457,3895098,6
8172378,2651311,4
6045061,4666698,6
4327810,17106,5
2238962,8582016,4
2644740,2831592,5
9650540,2487729,1
6054449,3296617,3
6547269,5730568,4
7745008,7612388,5
8597477,5762808,5
7640594,2767769,5
9084956,380952,3
6601806,4115206,6
3119193,3863384,2
2573751,8805342,6
2839563,5256301,5
3291237,2388802,3
4152022,6906991,3
4231558,883781,4
9634653,6325092,7
4560853,5642335,6
6143857,3189996,7
8343800,608892,2
4349036,7788240,7
7306137,9039310,3
9533743,9956142,3
2401549,8803427,2
930828,5407809,2
6675645,9694682,3
9604745,9927841,4
7805837,7517899,4
8448954,37656,2
846666,4338069,7
5486135,2867433,7
6410268,9311761,2
9911729,615426,5
3488503,3987272,2
1158103,8720910,2
7594874,7736447,4
3851797,3987272,2
1976824,9793615,7
31492,5237263,4
5501587,7267543,7
3650544,4273874,2
5409737,2317736,7
3466590,3952549,8
1437135,511107,6
9087010,9574764,4
7153268,1982414,1
7729658,1169977,6
6188992,4380015,7
3311704,3633850,5
4000355,5795794,3
4544164,4338069,7
8589597,3895098,4
9763944,9124560,7
6286033,4766482,2
4120323,1870840,5
4998799,6048437,3
4945380,3259418,5
2254138,3264171,9
8552101,9561606,7
3107131,9621629,5
7739116,6208033,5
8194641,1133796,5
1859584,9152011,8
2835591,8727926,8
5572763,2590083,8
9114048,2487729,1
6245151,3104566,3
3650544,5566296,2
4230252,1653037,5
8498442,6593331,2
3422273,2234511,3
2733230,7406199,1
6099354,6134213,2
4342153,4469424,2
4649816,1713705,6
3908369,619701,3
8164146,8757599,6
7650319,9766337,8
6486474,3189996,6
3933486,8766371,3
2884886,9393579,3
9887492,1653037,5
6587593,3081425,5
9516859,8584893,3
2364025,5526051,9
8881413,4115206,6
2454716,2234511,3
6876043,7223309,2
9690946,9756051,3
6266251,7665470,7
6465105,9144910,3
5774661,2903559,5
6894704,7370068,3
952718,8032497,7
2081778,3778343,6
4920289,5114611,5
1111873,5915583,7
7052405,8122580,5
9352473,7890313,6
2191921,4498285,5
8550821,4444333,2
4434932,9107312,5
9069766,6085530,6
4082498,2278266,6
2093345,2767769,5
6403681,7311490,8
7338621,3246875,6
1214037,5232124,7
7242858,677757,4
7319217,4138309,8
7251232,2001541,7
5629496,50569,5
168737,522009,5
8993835,6572759,3
1092419,7903245,4
842098,5953136,2
8876341,4480831,3
6901508,4253090,7
2175247,4573165,7
2252406,8318466,3
2782796,6957556,1
8537081,7517797,3
2262177,7907017,7
6412207,8854897,3
3292908,9140812,3
6933073,5921654,7
2471422,6238334,6
2262770,9812665,2
721550,6765257,5
3100622,5525110,3
3234812,3616314,6
4857357,2037052,9
1032821,5526051,9
1681074,5993503,3
3922942,5335356,3
6557143,9865416,2
2855022,3677711,7
5837109,8134163,6
5901052,8218698,7
821406,9671210,2
6156458,7523361,2
3681791,7863179,3
6158237,9390872,3
2674516,3871044,4
6862003,3593889,4
900587,128301,4
8226555,9124560,7
5358573,5959020,4
7577047,1962310,3
6055066,705324,2
1259658,9393579,3
1421925,4717098,5
98949,858676,6
7805577,2651311,5
551372,1962310,3
660466,7067031,3
9004395,7382113,2
8390265,5944654,4
7051058,17106,5
589404,8682140,3
4739120,2651311,5
2029714,3235220,1
6346912,7382113,2
2971050,5528910,2
1455643,5664346,2
6780891,3189996,7
7939728,1723319,7
7790630,9967764,3
3079907,9388133,3
535334,3350906,2
8019350,7674564,7
659085,9187787,4
8036215,6752339,4
5349442,5193810,6
6767680,7950257,6
4036479,1032780,4
8573806,5485346,4
2260796,8310112,2
2600411,4671186,5
9763761,7515939,3
9111064,4444559,7
6795871,7410681,3
7009118,2758090,3
9390136,3264171,9
6690166,3048669,8
5137022,8766371,3
631144,4123235,8
4042222,3270469,5
8337777,4115206,6
9285991,6048123,6
5683204,169365,6
9270857,9515960,5
1668289,3719256,7
208111,1888600,5
4972441,4599538,6
3750038,759748,6
8763368,3267462,5
8985846,5036498,6
1873168,9738646,8
5173278,7161791,2
9422555,1006716,4
1355066,4579806,5
9066477,9144910,3
237941,1371416,3
1288106,9756051,3
2656290,8690270,5
5150541,9129728,6
6804673,6727504,5
8623455,9350972,4
7866109,5377170,3
9066305,9606724,3
1857631,4581777,2
3527412,47467,6
5376173,3565502,3
4029679,5065092,2
2009414,7965054,5
6332464,5284357,1
6278623,5612173,6
815209,8070288,7
5262357,9415529,3
59903,2203608,5
2190718,8682140,3
1816928,1961313,7
4724864,3301752,3
9428168,3724247,4
3114201,4808600,5
3131438,5276055,6
6747214,1560771,4
6308232,2253475,7
5779899,3648284,2
7138497,5959020,4
4959840,7880000,3
1516948,9715474,1
8261844,988515,2
5571950,5875100,6
3597240,4573165,7
1676167,9390872,2
8794069,3661994,4
1463608,7517797,3
3061623,9314845,2
1396070,4019280,7
1465469,2758090,3
1816928,9279573,1
480494,4153462,7
831176,1855822,4
9283900,1715732,5
5625371,8559644,4
4303229,7175109,5
2954327,9127180,4
4835304,8477175,3
5767214,7998956,7
3524433,691383,4
3568264,4480831,3
135451,3685536,5
4686226,7223309,2
459427,5017287,7
1757905,2122008,7
718106,6749467,8
7143709,1810947,1
2055939,1124293,4
9032461,730767,5
8665591,624375,4
5702005,4086241,7
352264,759748,4
2869859,2849771,4
5831653,4351478,2
5301809,7358407,5
4553348,1124293,4
2445108,2417865,4
147681,5114611,5
4578711,4362030,6
4262264,9899762,4
1712542,7642314,3
9418294,2849771,3
4223889,8854897,4
2683604,313198,9
5359320,1608107,8
2293226,2758090,3
598526,2253475,7
8233593,2685033,4
1867149,8627542,2
9047997,256280,6
2321706,1840236,5
2162701,7952461,1
6362314,6765257,5
1701919,7311490,7
2694691,1333382,9
658512,5666203,8
8798289,2385854,4
530342,5395707,5
3615122,3475125,4
4429304,2564346,4
3842634,9140812,3
3439035,2509474,5
6638402,8216017,5
7284769,5611996,5
6134901,2726811,4
1690897,3784695,7
5757926,3565502,3
3349828,5335356,3
426847,404718,4
9275711,6409924,7
5716723,8758040,7
1637171,9766337,8
4227441,9144910,2
2229743,7519250,1
2613441,3544596,5
4353243,5468418,6
3745054,3316187,2
1191709,2968585,6
2920870,4339499,7
3025260,47467,6
3185643,256280,6
3012955,4338069,7
5508242,7965054,5
7788895,2871903,7
6827294,6040445,6
2030042,3270469,5
8809312,2263104,10
5595384,6048437,4
4505225,5904874,7
9474250,2840379,4
2863333,8339451,7
6113781,2917977,5
6858538,7686638,8
3773592,3593889,3
7284769,8770006,6
4613623,2158715,3
7579490,2871903,6
1394009,6432927,6
9898690,3951653,7
6897081,8770006,6
3678262,9479105,7
6202508,4516179,1
7323722,4444559,7
2003296,8331745,7
503748,8130458,7
1917242,2131601,4
41204,3603939,4
3450907,313198,9
8810888,1820914,5
9441522,4938470,8
5366996,4423891,4
6719560,7394025,2
6052513,3840877,2
1889715,555806,3
6196465,3633850,5
869051,8270818,4
5496385,2098449,6
2590122,7903245,4
9218432,3590161,5
324063,3270469,4
8296499,2981160,4
239719,4808600,5
8979450,9589537,5
8811443,349710,3
6621314,4563467,3
3555867,3616314,6
3273142,9129728,6
4601658,8582016,3
8915856,6792941,3
2046157,7406199,2
9439449,7259459,5
7174055,5407809,2
4590455,384918,3
6286503,7211040,6
8233256,380952,3
3114026,6792941,3
1354459,8962502,7
2828726,4234048,6
2626751,2064490,6
4144238,7836236,3
6505469,2968585,6
7541202,8805342,6
9853616,6048123,6
6186602,6149028,4
7028785,8266809,6
9505658,217012,6
961051,9892404,5
9996800,9766337,8
2606977,6085530,6
6733868,7748442,6
8854101,6494817,7
3261524,225347,2
2457838,8138643,7
224788,8795029,5
4941422,6626101,4
574633,1962310,3
6354264,1306129,7
9408266,9152011,8
5902449,1167325,7
2573062,6430867,2
6843358,7503170,9
8642118,7517899,4
6477070,8854897,2
4039751,3930380,6
8116009,8028438,6
5245816,2670533,3
1446790,9619390,2
4832364,110892,2
8721140,1226288,2
551928,5779504,5
4691364,2098449,6
4005316,9343963,7
6072997,4877445,6
1312649,691383,4
7332827,8434733,6
5765046,170332,9
3879905,6119798,6
6767577,4877445,6
5755667,4469424,2
3853251,3840877,2
8407723,2487729,1
6689454,2267149,6
9066477,2656408,2
7706327,1855822,4
6340146,8339451,7
1363215,4573165,7
1221292,5702764,2
3346090,7635229,4
5523566,9437160,2
3185602,7503170,9
2176240,2670533,4
7516078,1246205,6
5469453,9425947,6
2550863,9636211,4
2573063,5335356,3
2623627,4466514,5
5550471,3677711,7
8551617,9579635,3
5580080,4123235,8
638785,1209943,5
5293811,8796909,1
2868957,3952549,8
7135651,5560053,7
7682588,2981160,5
1714771,4563467,2
3483066,5526051,9
5608701,2943319,6
3356814,216873,7
8075111,3330881,2
875505,5474390,3
4749022,8050909,2
2254138,6589195,6
5620324,5526051,10
5081634,7903245,4
3396381,6399957,7
2642518,170332,9
5731751,9390872,3
8249427,9925104,5
6366018,9892404,4
1125910,6773964,6
1637110,8650595,5
235999,3129509,3
9866290,2064490,6
6101980,3951653,7
8163577,7863179,3
10870,9315262,5
5022817,8737082,4
2624257,1653037,5
7276555,6176693,7
1346871,5959020,4
5908883,5822793,5
7283292,3330881,2
8671209,2497416,1
9707066,8133504,4
3784537,289068,4
9157806,3985924,2
8822210,2974085,5
7183203,2320434,7
6704427,3916588,4
505212,4766482,2
687051,705324,3
9144888,7835814,4
6953730,4294457,6
5570632,2391199,8
2883276,7491521,5
458111,9515960,5
3090848,1898785,8
3744765,3871044,4
7773719,404718,4
5734763,6034642,4
6693750,9350972,4
6519226,5951657,4
4355801,7891007,6
7059897,7311490,7
9517573,8191997,7
4294662,2084183,4
5030542,5600032,4
4151142,7370068,3
4262016,4444559,7
3793967,677757,4
7293564,9265424,3
374215,2251535,3
2059302,1723319,7
9625783,7515939,3
2839933,1492227,4
7732659,3899529,5
5073160,3333417,4
2442002,6809937,4
8312143,1409504,6
2868957,5877719,5
3557704,4862107,3
8759911,7519250,1
9950465,8727926,8
5595646,5600032,4
8669169,488214,3
8167830,511107,7
1064716,7883392,7
8524728,8331745,7
6113781,6959854,8
4979047,6844797,3
5250419,5611521,5
4290578,6989647,6
9717182,341192,4
6627038,5261505,2
1561733,2310307,2
5866243,1378372,6
8352375,5525110,4
2566844,8770006,6
6097524,9783722,6
4908003,8422662,3
2089074,7965054,5
7632029,1252456,2
6716459,7613520,6
8999378,5611521,5
6769570,6134213,2
210930,2216163,4
3124455,5801286,8
3917390,6752339,4
1262464,4633015,2
9462625,8770006,6
1466881,535154,2
4894964,4997047,9
9151386,373176,5
242567,9437160,3
679945,4938747,7
5703563,2764748,2
7728139,5068775,3
8250351,2584578,2
1601864,8032497,7
5236931,1870840,4
9320435,9234073,5
4464822,6374004,4
78519,2497416,1
5235185,3323661,8
331888,265262,6
8359157,5666203,9
6228928,4010161,8
2896722,2584304,7
37306,650405,4
2539954,6968430,2
8533795,1262296,4
2752040,9393579,3
3720583,8122580,5
3625907,721503,6
6900637,9417374,2
4472144,973403,8
964708,5355658,5
1396070,7175109,5
9611736,9621629,5
9326080,815723,5
1399907,7665470,10
8373721,789666,3
4219034,196409,8
3847230,1589691,3
243431,751781,7
8572536,6432927,5
5716890,2564346,4
1903969,9756051,4
8834609,2977736,4
7939728,4825180,3
4361822,349710,3
8484544,2203608,4
5092029,1133878,6
393791,7675963,2
3682399,5931345,4
9718290,166015,6
7483556,6564551,3
6845484,7903245,4
7929042,7211040,6
3931256,9766337,8
7739116,5924955,8
1940599,6646372,3
7393074,9619390,2
8910930,3330881,2
985461,2758090,3
8345284,9467587,3
9908290,8339451,7
8176775,6323146,7
4285806,2122008,7
96600,2064490,6
6286503,3292428,6
8193768,8508817,3
153439,6465239,7
154131,7425201,6
4607696,6149028,4
5630935,550664,2
2609427,3333417,3
9014490,6572365,3
7176599,8368528,4
403067,9494851,7
7397163,2917977,4
9368170,751781,7
6709560,1006716,4
7625604,1963562,6
7486225,3593889,4
278936,8690270,5
4897394,4731331,3
8902032,9450280,2
7461370,3590161,5
87116,9124560,7
9591361,5231975,3
8814219,8714045,2
4466026,8028438,6
653622,9124560,7
1540284,3899529,6
4245899,2719496,4
6872904,2082898,4
1156919,9393579,3
934523,242656,2
8611445,549142,5
1392091,3048669,8
1200372,1333382,9
1768264,4896366,4
3081997,7406199,2
9523294,8317680,3
1296876,6593331,2
9573320,9350972,4
5869240,5092584,2
4117863,6631314,5
552405,9848704,6
1063336,815723,5
2174566,5717896,2
38212,7965054,5
4189323,8470515,6
3361964,7406199,2
1540473,2758090,3
2635021,9279573,1
3086560,7251529,5
4558512,6957556,1
8568568,5528910,3
4912918,110892,1
3485362,7613520,6
7822362,4099710,4
4751945,1359405,3
5470811,4419073,4
267951,7863179,3
1762803,5237263,4
9534807,7891007,6
95773,9793615,7
3647192,4600023,4
9934323,6072181,3
4734107,1713705,6
1508743,7788240,7
849090,5017287,7
2583980,1133798,6
1426698,1608107,7
1852947,5092584,2
8978482,1167325,7
9898386,7584199,5
2910976,3622618,3
4606971,6564551,3
9063272,730767,6
1360142,4309659,2
4432046,6639258,7
502405,4731331,3
8430694,8292568,7
5087629,4862144,2
1425724,8114902,5
383240,5931345,4
2771103,3724247,4
5781683,2593263,6
8478898,2999213,3
5955874,6906995,8
5919665,5960913,3
3182273,9967764,4
8439537,1898785,8
5825590,4339499,7
426216,1840236,5
7966306,2392127,2
6767927,2765464,3
9510951,6785269,7
7820783,4910217,5
7078619,5832368,6
6747214,2931631,5
1187271,6583741,5
5880693,5231975,3
8738740,8383367,7
569781,3046751,6
6914231,6374004,5
2709988,5036498,6
9187372,4717098,4
8445262,9328614,1
7739000,9581121,4
7595454,7965054,5
327035,4167695,6
2001319,6369318,8
8521492,5761837,2
9564579,7635104,3
4704173,9242181,6
8988637,3303014,1
7329498,9611792,8
7275377,1754734,2
6862630,7282713,6
9516672,9589537,5
5908353,4436373,5
9280052,4153462,7
3631687,373176,5
4765562,8766371,3
8004126,5689055,7
8781050,8100846,5
9207714,7998956,7
5610513,6432927,5
3006682,619701,2
5165438,4825180,3
3467921,7686401,2
2554181,2867433,7
6601349,4423891,4
2790111,2590083,8
9176000,9795716,6
7167141,6968430,2
787373,9415529,3
8889183,7425201,6
9989655,4781758,6
115119,5100947,8
8379443,2530966,6
4913371,8138643,7
3291828,9574764,4
3577149,241703,7
8421274,7961461,4
639198,4410457,9
5367174,1189951,2
2204217,8114902,5
9089021,2623627,2
8371497,9262861,3
8625175,7187974,3
6518837,7660791,7
8480209,3987272,2
5247444,1654527,3
5377186,654331,3
7398376,5395707,5
7544646,8032497,7
4838647,7505284,4
9239301,1167325,7
2711902,8641079,5
4951180,7358407,6
5731138,2367695,7
2378283,7476455,4
5849904,2929313,9
1604915,9240827,6
2571827,1919304,3
8254184,96019,6
3190001,511107,7
5045145,6223017,4
4328746,6552107,6
6967565,4599538,6
3469007,9967764,4
1870274,4167695,6
1182048,4339499,7
9639459,2974545,3
7062760,4154554,4
9024117,9522381,7
7134117,982300,6
3299914,9140812,3
5024346,773381,8
9157806,7748442,6
5045957,8250870,3
5557699,1378372,6
3072279,8508817,3
5329845,7394025,3
6586968,5612173,6
442144,9738646,8
2784608,314841,4
8369734,8130458,7
625246,6486457,6
4738509,1271102,4
7036633,7476455,4
7049922,4610290,5
2268931,1653037,5
3960202,7406199,1
6938413,2495971,4
6938482,7056647,3
7011181,9515960,5
1001288,5959020,4
3521483,9728918,5
5318354,1810947,2
896698,2981160,4
8658492,4444559,7
6899443,9885568,3
6590892,6727504,5
3095679,1810947,2
3376418,3633850,6
9000903,4380015,7
6998205,4502184,6
4443707,3303014,1
8724693,9083322,7
2657719,2623258,5
420270,225347,2
5996690,2237043,2
3840222,9579635,3
1881822,166015,6
3745077,189700,5
6224142,9848704,7
6722248,3693024,4
7867702,4760479,2
604401,8095283,7
7625935,5951657,4
4531203,166146,7
3273786,4309659,2
2031625,7660791,7
8518735,4362030,4
460469,5485346,3
498427,7244274,3
7040217,9756051,2
3473075,8792835,2
7288469,8318466,3
3495587,973403,9
6061395,37656,3
3092608,851302,4
8534136,404718,4
6788297,2375268,7
1416951,9370156,5
4385599,5364502,2
2255942,1713705,6
7395608,4444333,2
6601013,562941,3
2121101,8133504,4
5844448,7672202,7
863222,4115206,6
838648,9338608,4
3191442,6325092,7
5788644,1608107,8
9041902,6208033,6
6508529,9085338,5
7270116,3189996,7
6303777,8627542,2
7114875,3211521,3
8684291,7635229,4
7230181,217012,6
6347121,8524718,2
8854526,5526051,9
446761,7563995,7
9114541,3987272,2
9546153,2509474,5
2894728,614914,1
2608573,4294457,6
88490,6906995,8
2796310,9831241,2
9759428,8138643,7
721554,4423891,3
7728334,9467587,2
6173382,4666698,6
8322203,4273874,2
640066,5092584,2
4313341,6358054,7
8456656,3622618,3
3427388,5611996,5
6483813,1220026,5
2333580,5578082,3
1012777,2082898,4
9161093,2961782,5
271210,3271353,5
3237118,9241285,5
1824216,6572365,3
4785669,7523361,2
6379888,3648284,2
7752449,2391199,7
5815068,7358407,5
6462886,6572365,3
6673742,6486457,6
1119427,5363180,3
5731046,4717098,4
1815887,810004,2
8959382,5836689,2
8500633,6658918,7
8085380,5944654,4
6931125,8682140,3
9106660,349710,3
5279378,5256301,5
2653127,6369318,8
3536644,7612388,7
9688579,5953136,2
1886627,8422662,3
7732233,9581121,4
2943608,5254367,5
6540484,9070832,3
2335393,9437160,3
4839398,7262189,4
3366704,5485346,3
716174,8883101,5
3616566,4600023,5
7776439,7613520,6
1012136,8650595,5
1625878,7517899,4
2796300,8549741,4
5201055,4338069,8
9423266,5365151,6
2947696,1898785,8
2687109,3784767,4
6696470,2874802,6
5353489,3916588,3
1222097,2370749,5
4252135,7410681,3
8305626,5335238,8
6082779,169365,6
831021,8331745,7
1152769,7612388,7
9124396,1928796,6
9267721,3081425,5
3039947,1870840,5
2796300,1315645,7
7396890,6989647,6
2642973,313198,9
5842331,9279573,1
2018868,547550,5
4856976,5600032,4
8123803,691383,4
9989627,1006716,4
2922127,4938747,7
420270,9917939,5
4285806,8122580,5
3756067,4351478,2
7899516,8383367,7
484735,1046695,2
371373,9579635,3
3493192,8140265,3
5457237,3784695,8
6963900,2509474,5
7673902,8218698,5
7462845,2509474,4
5075785,2775481,4
535864,2564346,4
713361,1209943,6
2754451,2439527,4
3217355,4362030,6
770591,8422662,3
1330663,5491386,7
3929671,1589691,2
7841004,2082898,4
1729714,8627542,2
3846764,6906995,8
2020690,2509474,5
6638513,9156458,7
6074472,6515629,4
2722661,9298097,7
2960223,7835814,4
3083753,773381,7
4632472,1058537,2
3228529,166146,7
4358436,9240827,7
583660,6040445,6
5155711,2439527,5
3644917,614914,1
465090,5924955,8
6933073,9567571,3
2142940,4516179,1
5127678,2084183,5
2346000,1872598,7
5558843,7308930,2
9225479,9927841,5
9032461,2981160,4
5542078,6906991,3
2520481,5237263,4
7033606,9083322,7
9190499,7419752,7
6100443,5590059,7
2385598,6784017,4
4507483,8318466,3
8018245,7788240,7
6651236,3147683,6
4998165,4972437,6
5643096,4808600,5
1480134,5261254,3
6897535,166146,7
8071387,5273506,2
4690414,2968585,6
8631208,2251535,3
6626944,6788779,9
9480950,6956950,6
5519825,1713705,6
3582807,7952461,1
3604406,2974085,5
3560716,1608107,8
9514978,3350906,2
1651373,6251019,4
7058928,3296617,3
2506744,9738646,8
9378752,3121385,6
7605259,3350906,2
1675184,5207530,3
6514177,2685033,4
4178198,2093740,6
431652,3264171,9
4376990,1133796,5
4767154,6809937,4
7901763,5092584,2
7421652,3565502,3
8561566,8060408,3
1568592,98905,7
2799627,9956142,3
1281428,476036,4
4908003,4808600,5
8802195,2981160,4
4917917,9831241,2
82537,1736429,7
2563689,3296617,3
8096469,5449181,4
5582412,7635229,4
1633280,4444333,2
1000186,5456981,5
1011743,17106,5
3638205,7947582,8
591971,8191997,7
8110898,815723,5
6193760,7228969,4
4308862,7064465,6
3046587,9134277,6
9643754,789666,4
523395,1176549,2
1443077,8318466,3
2226906,3565502,3
5670332,6216893,8
9339663,4123235,8
3175627,2317736,7
8993678,7425201,6
4441092,4163894,9
3985522,8028438,6
8120254,4436373,5
4471371,4540383,7
9964498,2201020,6
4229079,9234073,5
5458583,289068,3
1964352,2590083,8
3511810,4300646,2
5551151,3005368,6
4213029,5017287,7
8300646,547550,5
4881749,3649421,6
